0.052	0.060	0.8806	8.249489164
0.052	0.078	0.8483	8.100278638
0.052	0.346	0.6575	6.362414861
0.052	0.410	0.6086	6.147863777
0.052	0.478	0.6035	5.894303406
0.052	0.629	0.5358	5.299411765
0.052	0.817	0.4947	5.006842105
0.052	1.072	0.4206	4.44120743
0.052	1.591	0.3737	3.74879257
0.052	2.10	0.3285	3.524489164
0.052	2.62	0.286	3.192910217
0.052	3.130	0.2661	2.997863777
0.052	5.332	0.2092	2.52
0.157	0.060	0.92	8.561456192
0.157	0.078	0.8892	8.32666904
0.157	0.352	0.6814	6.710572755
0.157	0.417	0.6494	6.449503096
0.157	0.488	0.6249	6.235663932
0.157	0.647	0.5599	5.71107678
0.157	0.831	0.5098	5.340839628
0.157	1.100	0.4635	4.942359752
0.157	1.625	0.3877	4.268318266
0.157	2.14	0.333	3.790405728
0.157	2.67	0.301	3.466063003
0.157	3.199	0.2728	3.205051858
0.157	5.445	0.2164	2.707303096
0.262	0.060	0.9389	8.683184675
0.262	0.078	0.9191	8.503800464
0.262	0.354	0.7157	6.874480031
0.262	0.419	0.6835	6.627921827
0.262	0.490	0.6565	6.442793498
0.262	0.651	0.5857	5.875091331
0.262	0.841	0.5425	5.545706656
0.262	1.111	0.488	5.105135759
0.262	1.658	0.4139	4.441158669
0.262	2.19	0.3539	4.021018885
0.262	2.74	0.3212	3.655531115
0.262	3.308	0.2945	3.460679721
0.262	5.744	0.2378	2.945932663
0.314	0.061	0.9057	8.775451393
0.314	0.079	0.8933	8.590683901
0.314	0.357	0.6954	7.088455728
0.314	0.422	0.6633	6.821017802
0.314	0.494	0.6346	6.60210743
0.314	0.657	0.5831	6.03363483
0.314	0.850	0.519	5.685652477
0.314	1.119	0.4644	5.315766409
0.314	1.658	0.3967	4.665286533
0.314	2.20	0.3308	4.191362693
0.314	2.75	0.2983	3.83804582
0.314	3.308	0.2675	3.574177245
0.314	5.677	0.1996	3.110337307
0.419	0.061	0.9474	8.819561146
0.419	0.078	0.9317	8.706014861
0.419	0.357	0.7437	7.287471362
0.419	0.420	0.7135	7.009978793
0.419	0.494	0.688	6.816570743
0.419	0.657	0.614	6.200536068
0.419	0.850	0.5645	5.925296285
0.419	1.122	0.5151	5.484413313
0.419	1.675	0.44	4.849897988
0.419	2.23	0.3852	4.407903251
0.419	2.80	0.3447	4.027982043
0.419	3.390	0.3182	3.808067183
0.419	5.926	0.2547	3.249132353
0.524	0.060	0.9519	8.81819582
0.524	0.078	0.9329	8.813621981
0.524	0.358	0.7574	7.51001935
0.524	0.426	0.728	7.272179721
0.524	0.497	0.6976	7.055863467
0.524	0.661	0.6247	6.496577554
0.524	0.854	0.5847	6.076574303
0.524	1.130	0.5245	5.750476161
0.524	1.683	0.4468	4.994632198
0.524	2.24	0.3885	4.618494892
0.524	2.83	0.3521	4.261520898
0.524	3.430	0.3288	3.968697678
0.524	6.002	0.2586	3.505413622
